session_id,validation_status,validation_notes,harmony_version,harmony_profile,direction,destination,duration_s,start_utc,end_utc,completed,end_reason,n_samples,n_events,quality_gate,temporal_dwell,map_id_check,recovery_fsm,adaptive_guidance,handover_success_reconstructed,handover_latency_s,handover_start_s,handover_end_s,handover_note,handover_success_summary,handover_success_mismatch,source_transitions_total,switch_count_Gps_to_Pdr,switch_count_Pdr_to_Gps,switch_count_Pdr_to_Vps,switch_count_Vps_to_Pdr,switch_count_Gps_to_Vps,switch_count_Vps_to_Gps,false_handover_count,evaluable_switches,false_handover_rate_percent,oscillation_episode_count,unnecessary_source_switches,source_toggle_count_summary,source_toggle_count_reconstructed,source_toggle_count_mismatch,vps_attempts_total,vps_attempts_success,vps_attempts_timeout,vps_attempts_unresolved,vps_localization_time_s_n,vps_localization_time_s_mean,vps_localization_time_s_median,vps_localization_time_s_sd,vps_localization_time_s_min,vps_localization_time_s_max,vps_localization_time_last_s,vps_localization_outcome_last,pdr_transition_duration_s,gps_reliability_at_acceptance,vps_reliability_at_acceptance,gps_stable_s_at_acceptance,vps_stable_s_at_acceptance,position_jump_m_reconstructed,heading_jump_deg_reconstructed,position_jump_note,position_jump_m_logger_column,position_jump_m_logger_note,gps_accuracy_m_n,gps_accuracy_m_mean,gps_accuracy_m_median,gps_accuracy_m_sd,gps_accuracy_m_min,gps_accuracy_m_max,gps_reliability_mean,gps_reliability_median,gps_age_s_mean,gps_age_s_max,pdr_steps_total,pdr_confidence_mean,pdr_confidence_median,vps_reliability_mean_when_valid,vps_confidence_available_rate_percent,vps_map_id_available_rate_percent,vps_map_match_rate_percent,handover_attempts_total_summary,handover_attempts_evaluable_summary,successful_handovers_summary,false_handovers_summary,hsr_percent_summary,fhr_percent_summary,events_file,samples_file,summary_file
20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B,VALID,,BQ,Quality-Threshold Baseline,GPS_TO_VPS,B9-EXIT,77.975,2026-09-10T06:49:31.5531500Z,,1.0,,74.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0,2.741,56.046,58.787,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.724,1.724,0.0,1.724,1.724,1.724,success,7.303,0.132,0.5,0.0,0.0,2.8081,23.161,reconstructed from campus_x/campus_y at +/-2.0s window,2.8081,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,74.0,5.0793,5.071,0.2761,4.423,5.683,0.4446,0.132,15.6874,47.308,33.0,0.8968,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,25.0,,,
20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325,VALID,,BT,Quality + Dwell Baseline,GPS_TO_VPS,B9-104,74.799,2026-09-10T06:45:43.9301650Z,2026-09-10T06:46:56.4621650Z,1.0,user_finished_trial,71.0,362.0,1.0,1.0,0.0,0.0,0.0,1.0,3.162,53.855,57.017,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.718,1.718,0.0,1.718,1.718,1.718,success,7.322,0.132,0.5,0.0,0.0,2.0208,18.049,reconstructed from campus_x/campus_y at +/-2.0s window,2.0208,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,71.0,5.046,5.037,0.2151,4.588,5.504,0.3231,0.132,13.8681,39.51,12.0,0.8966,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260910_065724_954_V3_GPS_TO_VPS_NORMAL_DEV_6AD5,VALID,,V3,No Dwell Time,GPS_TO_VPS,B9-104,45.172,2026-09-10T06:57:24.9543130Z,,1.0,,42.0,91.0,1.0,0.0,1.0,1.0,0.0,1.0,2.545,22.372,24.917,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.667,1.667,0.0,1.667,1.667,1.667,success,42.081,0.984,0.5,5.034,0.0,2.0118,15.732,reconstructed from campus_x/campus_y at +/-2.0s window,2.0118,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,42.0,4.6931,4.7085,0.2365,4.206,5.308,0.872,0.956,1.732,8.998,7.0,0.8981,0.9,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,25.0,,,
20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61,VALID,,V5,Full HARMONY,GPS_TO_VPS,B9-104,52.264,2026-09-10T06:51:10.3660700Z,,1.0,,52.0,112.0,1.0,1.0,1.0,1.0,1.0,1.0,3.389,30.464,33.853,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.68,1.68,0.0,1.68,1.68,1.68,success,15.43,1.0,0.5,15.368,0.0,1.1455,11.01,reconstructed from campus_x/campus_y at +/-2.0s window,1.1455,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,52.0,5.6102,5.6085,0.2401,5.14,6.174,0.8364,0.9345,1.9844,9.298,7.0,0.9,0.9,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,,,
20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853,VALID,,V4,No Map-ID Check,GPS_TO_VPS,B9-104,77.861,2026-09-10T06:52:20.8245140Z,,1.0,,77.0,461.0,1.0,1.0,0.0,1.0,0.0,1.0,3.332,55.94,59.272,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.652,1.652,0.0,1.652,1.652,1.652,success,6.133,0.113,0.5,0.0,0.0,1.7364,14.669,reconstructed from campus_x/campus_y at +/-2.0s window,1.7364,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,77.0,5.6098,5.618,0.277,4.44,6.163,0.3572,0.113,13.6361,42.798,26.0,0.8813,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260912_101528_381_V3_GPS_TO_VPS_NORMAL_DEV_7F59,VALID,,V3,No Dwell Time,GPS_TO_VPS,B9-104,190.885,2026-09-12T10:15:28.3815990Z,,1.0,,191.0,378.0,1.0,0.0,1.0,1.0,0.0,1.0,2.171,135.104,137.275,,1.0,False,6.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,66.67,1.0,6.0,6.0,6.0,False,1.0,1.0,0.0,0.0,1.0,1.674,1.674,0.0,1.674,1.674,1.674,success,,0.176,0.5,0.0,0.0,2.1109,15.874,reconstructed from campus_x/campus_y at +/-2.0s window,2.1109,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,191.0,4.773,4.752,0.254,4.146,5.633,0.8569,0.953,2.0636,8.972,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,100.0,33.3,,,
20260912_103114_765_BT_GPS_TO_VPS_NORMAL_DEV_F9B7,VALID,,BT,Quality + Dwell Baseline,GPS_TO_VPS,B9-101,124.655,2026-09-12T10:31:14.7654270Z,,1.0,,122.0,247.0,1.0,1.0,0.0,0.0,0.0,1.0,2.694,89.655,92.349,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.673,1.673,0.0,1.673,1.673,1.673,success,11.024,0.857,0.5,26.073,0.0,2.2718,17.612,reconstructed from campus_x/campus_y at +/-2.0s window,2.2718,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,122.0,4.6794,4.696,0.2344,4.19,5.166,0.7928,0.8895,2.091,12.913,16.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,25.0,,,
20260912_102732_818_BQ_GPS_TO_VPS_NORMAL_DEV_78D0,VALID,,BQ,Quality-Threshold Baseline,GPS_TO_VPS,B9-101,167.761,2026-09-12T10:27:32.8186450Z,,1.0,,165.0,369.0,1.0,0.0,0.0,0.0,0.0,1.0,2.933,120.715,123.648,,1.0,False,6.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,66.67,1.0,6.0,6.0,6.0,False,1.0,1.0,0.0,0.0,1.0,1.74,1.74,0.0,1.74,1.74,1.74,success,12.028,0.878,0.5,5.211,0.0,3.188,26.513,reconstructed from campus_x/campus_y at +/-2.0s window,3.188,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,165.0,5.4159,5.435,0.2561,4.739,6.053,0.8647,0.906,1.3093,8.019,15.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,100.0,33.3,,,
20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,VALID,,V2,Reliable Handover,GPS_TO_VPS,B9-103,144.255,2026-09-12T10:12:27.8168230Z,,1.0,,142.0,350.0,1.0,1.0,1.0,1.0,0.0,1.0,3.262,103.815,107.077,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.667,1.667,0.0,1.667,1.667,1.667,success,11.094,0.827,0.5,31.197,0.0,1.2565,10.484,reconstructed from campus_x/campus_y at +/-2.0s window,1.2565,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,142.0,5.1835,5.2015,0.2222,4.741,5.703,0.8213,0.9325,2.1145,11.278,12.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260912_101928_244_V4_GPS_TO_VPS_NORMAL_DEV_FB48,VALID,,V4,No Map-ID Check,GPS_TO_VPS,B9-101,135.811,2026-09-12T10:19:28.2440310Z,,1.0,,136.0,220.0,1.0,1.0,0.0,1.0,0.0,1.0,3.341,97.759,101.1,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.666,1.666,0.0,1.666,1.666,1.666,success,8.053,0.899,0.5,9.556,0.0,1.5212,16.227,reconstructed from campus_x/campus_y at +/-2.0s window,1.5212,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,136.0,5.3014,5.2775,0.2257,4.719,6.015,0.8462,0.9045,1.6401,9.456,25.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,25.0,,,
20260912_102314_139_V5_GPS_TO_VPS_NORMAL_DEV_D1F5,VALID,,V5,Full HARMONY,GPS_TO_VPS,B9-101,197.106,2026-09-12T10:23:14.1394600Z,,1.0,,194.0,645.0,1.0,1.0,1.0,1.0,1.0,1.0,3.466,141.796,145.262,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.73,1.73,0.0,1.73,1.73,1.73,success,135.762,0.113,0.5,0.0,0.0,1.3131,11.623,reconstructed from campus_x/campus_y at +/-2.0s window,1.3131,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,194.0,5.5355,5.5555,0.2579,4.744,6.216,0.6484,0.8135,4.4776,30.188,19.0,0.8971,0.9,,0.0,0.0,0.0,2.0,2.0,1.0,1.0,100.0,25.0,,,
20260912_100806_809_V1_GPS_TO_VPS_NORMAL_DEV_ECFB,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run.",V1,Fixed Geometric,GPS_TO_VPS,B9-101,141.532,2026-09-12T10:08:06.8097560Z,,0.0,,139.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,,101.879,113.879,,0.0,False,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,66.67,1.0,3.0,3.0,3.0,False,1.0,0.0,1.0,0.0,1.0,11.553,11.553,0.0,11.553,11.553,11.553,timeout_fallback,8.02,0.864,0.5,42.453,0.0,0.024,2.625,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,139.0,5.1834,5.2,0.2275,4.472,5.742,0.7983,0.904,2.0915,18.645,31.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,33.3,,,
20260906_075007_857_V3_GPS_TO_VPS_NORMAL_DEV_5C58,VALID,,V3,No Dwell Time,GPS_TO_VPS,B9-104,92.806,2026-09-06T07:50:07.8570820Z,,1.0,,92.0,255.0,1.0,0.0,1.0,1.0,0.0,1.0,2.41,66.7,69.11,,1.0,False,6.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,66.67,1.0,6.0,6.0,6.0,False,1.0,1.0,0.0,0.0,1.0,1.722,1.722,0.0,1.722,1.722,1.722,success,56.437,0.739,0.5,4.434,0.0,1.9246,17.986,reconstructed from campus_x/campus_y at +/-2.0s window,1.9246,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,92.0,5.014,5.017,0.2602,4.304,5.528,0.7463,0.802,1.7819,5.617,46.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,100.0,33.3,,,
20260906_075227_349_V4_GPS_TO_VPS_NORMAL_DEV_3415,VALID,,V4,No Map-ID Check,GPS_TO_VPS,B9-104,219.481,2026-09-06T07:52:27.3495590Z,,1.0,,216.0,1434.0,1.0,1.0,0.0,1.0,0.0,1.0,3.371,157.954,161.325,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.671,1.671,0.0,1.671,1.671,1.671,success,2.034,0.889,0.5,3.334,0.0,1.8298,16.627,reconstructed from campus_x/campus_y at +/-2.0s window,1.8298,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,216.0,4.8533,4.87,0.2639,4.054,5.545,0.7298,0.8175,1.9929,11.101,16.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260906_074640_905_V2_GPS_TO_VPS_NORMAL_DEV_1FA1,VALID,,V2,Reliable Handover,GPS_TO_VPS,B9-104,154.624,2026-09-06T07:46:40.9057280Z,,1.0,,151.0,345.0,1.0,1.0,1.0,1.0,0.0,1.0,3.287,106.743,110.03,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.674,1.674,0.0,1.674,1.674,1.674,success,4.067,0.777,0.5,0.767,0.0,1.2107,12.297,reconstructed from campus_x/campus_y at +/-2.0s window,1.2107,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,151.0,5.3081,5.303,0.2555,4.602,6.021,0.7686,0.804,1.8596,9.037,11.0,0.892,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260906_075908_669_BQ_GPS_TO_VPS_NORMAL_DEV_A18D,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run.",BQ,Quality-Threshold Baseline,GPS_TO_VPS,B9-104,110.318,2026-09-06T07:59:08.6691810Z,,0.0,,108.0,420.0,1.0,0.0,0.0,0.0,0.0,0.0,,77.005,89.005,,0.0,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,1.0,10.896,10.896,0.0,10.896,10.896,10.896,timeout_fallback,96.54,0.848,0.5,4.134,0.0,0.114,0.0,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,108.0,4.9806,5.006,0.2591,4.166,5.535,0.7838,0.825,1.1136,4.665,11.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID,,V5,Full HARMONY,GPS_TO_VPS,B9-104,79.551,2026-09-06T07:57:03.1682960Z,,1.0,,77.0,339.0,1.0,1.0,1.0,1.0,1.0,1.0,3.229,57.144,60.373,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.685,1.685,0.0,1.685,1.685,1.685,success,36.239,0.852,0.5,25.85,0.0,1.3694,9.444,reconstructed from campus_x/campus_y at +/-2.0s window,1.3694,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,77.0,5.1112,5.101,0.2481,4.545,5.814,0.6392,0.768,1.6162,7.567,22.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,VALID,,BT,Quality + Dwell Baseline,GPS_TO_VPS,B9-104,119.446,2026-09-06T08:01:52.6731010Z,,1.0,,117.0,612.0,1.0,1.0,0.0,0.0,0.0,1.0,3.277,85.317,88.594,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.708,1.708,0.0,1.708,1.708,1.708,success,8.034,0.786,0.5,27.268,0.0,2.1757,16.814,reconstructed from campus_x/campus_y at +/-2.0s window,2.1757,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,117.0,4.9755,4.949,0.2515,4.313,5.592,0.715,0.79,1.7901,9.352,10.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,VALID_WITH_WARNINGS,[DUPLICATE_FILE] Multiple events files found for session_id=20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24: sample_data/Kịch bản 3/20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24/events_20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24.csv and sample_data/HARMONY_Experiments/V1/GPS_TO_VPS_NORMAL/trial_01/events_20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24.csv (first kept as primary) | [DUPLICATE_FILE] Multiple samples files found for session_id=20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24: sample_data/Kịch bản 3/20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24/samples_20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24.csv and sample_data/HARMONY_Experiments/V1/GPS_TO_VPS_NORMAL/trial_01/samples_20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24.csv (first kept as primary) | [DUPLICATE_FILE] Multiple summary files found for session_id=20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24: sample_data/Kịch bản 3/20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24/summary_20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24.csv and sample_data/HARMONY_Experiments/V1/GPS_TO_VPS_NORMAL/trial_01/summary_20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24.csv (first kept as primary) | [DUPLICATE_EVENTS_FILE] 1 extra events file(s) ignored. | [DUPLICATE_SAMPLES_FILE] 1 extra samples file(s) ignored. | [DUPLICATE_SUMMARY_FILE] 1 extra summary file(s) ignored.,V1,Fixed Geometric,GPS_TO_VPS,B9-104,313.88,2026-09-06T07:35:58.7946820Z,,1.0,,296.0,592.0,0.0,0.0,0.0,0.0,0.0,1.0,2.117,225.969,228.086,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.755,1.755,0.0,1.755,1.755,1.755,success,12.1,0.869,0.5,26.302,0.0,3.8907,31.923,reconstructed from campus_x/campus_y at +/-2.0s window,3.8907,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,296.0,5.2586,5.2575,0.247,4.514,5.978,0.7314,0.81,2.1449,16.427,16.0,0.8986,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,25.0,,,
20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000,VALID,,V1,Fixed Geometric,GPS_TO_VPS,B9-EXIT,119.293,2026-09-17T08:23:29.7457590Z,,1.0,,118.0,1141.0,0.0,0.0,0.0,0.0,0.0,1.0,2.292,85.731,88.023,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.772,1.772,0.0,1.772,1.772,1.772,success,2.007,0.132,0.5,0.0,0.0,3.666,30.341,reconstructed from campus_x/campus_y at +/-2.0s window,3.666,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,118.0,5.301,5.311,0.2311,4.735,5.905,0.4039,0.132,23.8009,74.244,26.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,25.0,,,
20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F,VALID,,BQ,Quality-Threshold Baseline,GPS_TO_VPS,B9-104,270.726,2026-09-17T08:53:15.8356870Z,,1.0,,263.0,1617.0,1.0,0.0,0.0,0.0,0.0,1.0,2.75,191.595,194.345,,1.0,False,6.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,66.67,1.0,6.0,6.0,6.0,False,1.0,1.0,0.0,0.0,1.0,1.715,1.715,0.0,1.715,1.715,1.715,success,2.034,0.132,0.5,0.0,0.0,2.6795,21.491,reconstructed from campus_x/campus_y at +/-2.0s window,2.6795,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,263.0,4.9032,4.894,0.2617,4.149,5.722,0.5107,0.132,39.4109,144.356,7.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,100.0,33.3,,,
20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C,VALID,,V2,Reliable Handover,GPS_TO_VPS,B9-102,224.246,2026-09-17T08:29:34.9131590Z,,1.0,,218.0,492.0,1.0,1.0,1.0,1.0,0.0,1.0,3.258,124.593,127.851,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.573,1.573,0.0,1.573,1.573,1.573,success,13.289,0.903,0.5,46.822,0.0,1.137,11.136,reconstructed from campus_x/campus_y at +/-2.0s window,1.137,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,218.0,5.1203,5.11,0.244,4.417,5.81,0.8343,0.933,2.1031,18.556,0.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E,VALID,,V5,Full HARMONY,GPS_TO_VPS,B9-101,126.979,2026-09-17T08:43:01.1028770Z,,1.0,,123.0,338.0,1.0,1.0,1.0,1.0,1.0,1.0,3.466,80.417,83.883,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.747,1.747,0.0,1.747,1.747,1.747,success,1.022,0.894,0.5,81.557,0.0,1.0362,11.916,reconstructed from campus_x/campus_y at +/-2.0s window,1.0362,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,123.0,5.4989,5.483,0.2323,5.032,6.159,0.9207,0.941,1.0585,6.267,1.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1,VALID,,V4,No Map-ID Check,GPS_TO_VPS,B9-106,212.679,2026-09-17T08:38:55.9669610Z,,1.0,,209.0,459.0,1.0,1.0,0.0,1.0,0.0,1.0,3.455,96.265,99.72,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.639,1.639,0.0,1.639,1.639,1.639,success,8.177,0.113,0.5,0.0,0.0,1.6909,13.834,reconstructed from campus_x/campus_y at +/-2.0s window,1.6909,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,209.0,5.295,5.293,0.2439,4.617,5.908,0.8267,0.941,3.1212,30.689,3.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
