session_id,validation_status,validation_notes,harmony_version,harmony_profile,direction,scenario_id,destination,duration_s,start_utc,end_utc,completed,end_reason,n_samples,n_events,quality_gate,temporal_dwell,map_id_check,recovery_fsm,adaptive_guidance,handover_success_reconstructed,handover_latency_s,handover_note,handover_success_summary,handover_success_mismatch,source_transitions_total,switch_count_Gps_to_Pdr,switch_count_Pdr_to_Gps,switch_count_Pdr_to_Vps,switch_count_Vps_to_Pdr,switch_count_Gps_to_Vps,switch_count_Vps_to_Gps,false_handover_count,evaluable_switches,false_handover_rate_percent,oscillation_episode_count,unnecessary_source_switches,source_toggle_count_summary,source_toggle_count_reconstructed,source_toggle_count_mismatch,vps_attempts_total,vps_attempts_success,vps_attempts_timeout,vps_attempts_unresolved,vps_localization_time_s_n,vps_localization_time_s_mean,vps_localization_time_s_median,vps_localization_time_s_sd,vps_localization_time_s_min,vps_localization_time_s_max,vps_localization_time_last_s,vps_localization_outcome_last,pdr_transition_duration_s,gps_reliability_at_acceptance,vps_reliability_at_acceptance,gps_stable_s_at_acceptance,vps_stable_s_at_acceptance,position_jump_m_reconstructed,heading_jump_deg_reconstructed,position_jump_note,position_jump_m_logger_column,position_jump_m_logger_note,gps_accuracy_m_n,gps_accuracy_m_mean,gps_accuracy_m_median,gps_accuracy_m_sd,gps_accuracy_m_min,gps_accuracy_m_max,gps_reliability_mean,gps_reliability_median,gps_age_s_mean,gps_age_s_max,pdr_steps_total,pdr_confidence_mean,pdr_confidence_median,vps_reliability_mean_when_valid,vps_confidence_available_rate_percent,vps_map_id_available_rate_percent,vps_map_match_rate_percent,handover_attempts_total_summary,handover_attempts_evaluable_summary,successful_handovers_summary,false_handovers_summary,hsr_percent_summary,fhr_percent_summary,handover_start_s,handover_end_s
20260912_102831_991_BT_GPS_TO_VPS_NORMAL_DEV_AB40,VALID,,BT,Quality + Dwell Baseline,NONE,KB24,B9-EXIT,84.291,2026-09-12T10:28:31.9916200Z,,1.0,destination_reached,80,383,1,1,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.667,1.667,0.0,1.667,1.667,1.667,success,13.37,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,2.2591,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,80,5.0262,5.0465,0.2391,4.2,5.703,0.3984,0.132,12.6528,41.494,8,0.899,0.9,0.8683,33.75,33.75,33.75,1.0,1.0,1.0,0,100.0,0.0,,
20260912_101203_701_V1_GPS_TO_VPS_NORMAL_DEV_0951,VALID,,V1,Fixed Geometric,NONE,KB24,B9-101,312.148,2026-09-12T10:12:03.7013720Z,,1.0,destination_reached,301,284,0,0,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,6,3,2,1,0,0,0,4,6,66.67,1,6,6,6,False,1,1,0,0,1,1.705,1.705,0.0,1.705,1.705,1.705,success,210.809,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,3.735,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,301,4.912,4.907,0.1995,4.2,5.564,0.6893,0.864,3.5545,21.647,29,0.8997,0.9,0.8799,35.22,35.22,35.22,1.0,1.0,1.0,4,100.0,66.7,,
20260911_051425_657_V1_GPS_TO_VPS_NORMAL_DEV_F38F,VALID,,V1,Fixed Geometric,NONE,KB10,B10,61.827,2026-09-11T05:14:25.6571010Z,2026-09-11T05:15:23.3091320Z,1.0,destination_reached,56,346,0,0,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,0.0,,1,1,0,0,0,0,0,0,1,0.0,0,0,1,1,False,1,0,1,0,0,,,,,,,timeout_fallback,,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,56,5.3359,5.3605,0.185,4.743,5.711,0.9459,1.0,0.5995,4.255,0,,,,51.79,51.79,51.79,1.0,1.0,0.0,0,0.0,0.0,,
20260911_053142_080_V3_GPS_TO_VPS_NORMAL_DEV_BCED,VALID,,V3,No Dwell Time,NONE,KB10,B10,72.116,2026-09-11T05:31:42.0800250Z,2026-09-11T05:32:54.1961750Z,1.0,destination_reached,65,500,1,0,1,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,0.0,,3,2,1,0,0,0,0,2,3,66.67,1,3,3,3,False,1,0,1,0,0,,,,,,,timeout_fallback,,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,65,4.9843,4.964,0.1912,4.537,5.6,0.9644,0.994,0.6278,4.978,0,,,,50.77,50.77,50.77,1.0,1.0,0.0,2,0.0,66.7,,
20260911_052009_268_V2_GPS_TO_VPS_NORMAL_DEV_6D88,VALID,,V2,Reliable Handover,NONE,KB10,B9-104,15.573,2026-09-11T05:20:09.2684210Z,2026-09-11T05:20:22.6579830Z,1.0,destination_reached,13,544,1,1,1,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.69,1.69,0.0,1.69,1.69,1.69,success,,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.2409,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,13,4.8266,4.883,0.214,4.253,5.061,0.8921,0.962,1.5343,4.469,0,,,0.8805,23.08,23.08,23.08,1.0,1.0,1.0,2,100.0,50.0,,
20260912_103747_212_V4_GPS_TO_VPS_NORMAL_DEV_16E6,VALID,,V4,No Map-ID Check,NONE,KB10,B9-104,47.741,2026-09-12T10:37:47.2128370Z,2026-09-12T10:38:34.9567610Z,1.0,destination_reached,48,202,1,1,0,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.666,1.666,0.0,1.666,1.666,1.666,success,19.227,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.7956,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,48,5.2951,5.287,0.237,4.648,5.758,0.7913,0.923,1.4523,7.682,1,0.9,0.9,0.8567,31.25,31.25,31.25,1.0,1.0,1.0,2,100.0,50.0,,
20260912_104913_515_V5_GPS_TO_VPS_NORMAL_DEV_AAA1,VALID,,V5,Full HARMONY,NONE,KB10,B9-104,20.072,2026-09-12T10:49:13.5159190Z,2026-09-12T10:49:31.3863460Z,1.0,destination_reached,17,329,1,1,1,1,1,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.705,1.705,0.0,1.705,1.705,1.705,success,,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.2288,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,17,5.0458,5.112,0.1832,4.696,5.269,0.4629,0.511,4.2726,10.065,0,,,0.8791,17.65,17.65,17.65,1.0,1.0,1.0,2,100.0,50.0,,
20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000,VALID,,V1,Fixed Geometric,VPS_TO_GPS,KB02,B9-EXIT,119.293,2026-09-17T08:23:29.7457590Z,,1.0,destination_reached,118,1141,0,0,0,0,0,,,No reliability_state->OutdoorGps event found.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.711,1.711,0.0,1.711,1.711,1.711,success,2.007,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,3.8536,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,118,5.2969,5.277,0.2125,4.55,5.733,0.4039,0.132,23.8009,74.244,26,0.9,0.9,0.8818,34.75,34.75,34.75,1.0,1.0,1.0,2,100.0,50.0,,
20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E,VALID,,V5,Full HARMONY,VPS_TO_GPS,KB02,B9-101,126.979,2026-09-17T08:43:01.1028770Z,,1.0,destination_reached,123,338,1,1,1,1,1,,,No reliability_state->OutdoorGps event found.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.717,1.717,0.0,1.717,1.717,1.717,success,1.022,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.2625,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,123,5.0819,5.086,0.1982,4.607,5.568,0.9207,0.941,1.0585,6.267,1,0.9,0.9,0.8813,42.28,42.28,42.28,1.0,1.0,1.0,0,100.0,0.0,,
20260917_083639_189_V3_GPS_TO_VPS_NORMAL_DEV_DD2D,VALID,,V3,No Dwell Time,VPS_TO_GPS,KB02,B9-104,65.245,2026-09-17T08:36:39.1894110Z,,1.0,destination_reached,62,121,1,0,1,1,0,,,No reliability_state->OutdoorGps event found.,0.0,,1,1,0,0,0,0,0,0,1,0.0,0,0,1,1,False,1,0,1,0,0,,,,,,,timeout_fallback,3.067,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,62,5.0414,5.028,0.214,4.486,5.622,0.894,0.975,1.4616,9.822,7,0.9,0.9,,53.23,53.23,53.23,1.0,1.0,0.0,0,0.0,0.0,,
20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C,VALID,,V2,Reliable Handover,VPS_TO_GPS,KB02,B9-102,224.246,2026-09-17T08:29:34.9131590Z,,1.0,destination_reached,218,492,1,1,1,1,0,,,Left indoor volume but no source_switched->Gps event found before trial log ends.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.676,1.676,0.0,1.676,1.676,1.676,success,13.289,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.2079,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,218,5.2614,5.2525,0.2011,4.774,5.931,0.8343,0.933,2.1031,18.556,0,0.9,0.9,0.8858,49.54,49.54,49.54,1.0,1.0,1.0,0,100.0,0.0,173.046,
20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F,VALID,,BQ,Quality-Threshold Baseline,VPS_TO_GPS,KB02,B9-104,270.726,2026-09-17T08:53:15.8356870Z,,1.0,destination_reached,263,1617,1,0,0,0,0,,,Left indoor volume but no source_switched->Gps event found before trial log ends.,1.0,,6,3,2,1,0,0,0,4,6,66.67,1,6,6,6,False,1,1,0,0,1,1.697,1.697,0.0,1.697,1.697,1.697,success,2.034,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,2.841,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,263,5.0764,5.072,0.2034,4.435,5.61,0.5107,0.132,39.4109,144.356,7,0.9,0.9,0.8771,35.74,35.74,35.74,1.0,1.0,1.0,4,100.0,66.7,206.148,
20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1,VALID,,V4,No Map-ID Check,VPS_TO_GPS,KB02,B9-106,212.679,2026-09-17T08:38:55.9669610Z,,1.0,destination_reached,209,459,1,1,0,1,0,,,Left indoor volume but no source_switched->Gps event found before trial log ends.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.706,1.706,0.0,1.706,1.706,1.706,success,8.177,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.6887,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,209,5.1351,5.125,0.2092,4.583,5.705,0.8267,0.941,3.1212,30.689,3,0.9,0.9,0.8809,57.89,57.89,57.89,1.0,1.0,1.0,0,100.0,0.0,133.701,
20260917_090606_561_BT_GPS_TO_VPS_NORMAL_DEV_6228,VALID,,BT,Quality + Dwell Baseline,VPS_TO_GPS,KB02,B9-104,470.074,2026-09-17T09:06:06.5611860Z,,1.0,destination_reached,458,1562,1,1,0,0,0,,,Left indoor volume but no source_switched->Gps event found before trial log ends.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.687,1.687,0.0,1.687,1.687,1.687,success,17.378,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,2.1538,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,458,5.0518,5.06,0.1987,4.504,5.565,0.7143,0.886,3.8978,28.756,0,0.9,0.9,0.8778,34.93,34.93,34.93,1.0,1.0,1.0,0,100.0,0.0,187.119,
20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313,VALID,,V2,Reliable Handover,NONE,KB11,B9-104,116.799,2026-09-15T08:51:48.7437180Z,,1.0,destination_reached,114,162,1,1,1,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.711,1.711,0.0,1.711,1.711,1.711,success,21.02,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.249,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,114,5.1936,5.1915,0.2002,4.74,5.714,0.4979,0.15,11.2279,46.463,32,0.9,0.9,0.8773,34.21,34.21,34.21,1.0,1.0,1.0,2,100.0,50.0,,
20260915_090604_072_BQ_GPS_TO_VPS_NORMAL_DEV_4784,VALID,,BQ,Quality-Threshold Baseline,NONE,KB11,B9-104,142.804,2026-09-15T09:06:04.0727750Z,,1.0,destination_reached,141,155,1,0,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.653,1.653,0.0,1.653,1.653,1.653,success,11.01,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,3.0505,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,141,5.148,5.135,0.1826,4.729,5.695,0.4772,0.176,12.4681,46.578,12,0.9,0.9,0.8783,41.84,41.84,41.84,1.0,1.0,1.0,2,100.0,50.0,,
20260915_090305_638_V5_GPS_TO_VPS_NORMAL_DEV_F25A,VALID,,V5,Full HARMONY,NONE,KB11,B9-104,132.564,2026-09-15T09:03:05.6384980Z,,1.0,destination_reached,123,262,1,1,1,1,1,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.705,1.705,0.0,1.705,1.705,1.705,success,16.016,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.2026,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,123,4.7816,4.787,0.1949,4.263,5.263,0.5352,0.764,10.2546,47.399,20,0.9,0.9,0.8848,36.59,36.59,36.59,1.0,1.0,1.0,0,100.0,0.0,,
20260915_085533_277_V3_GPS_TO_VPS_NORMAL_DEV_93D6,VALID,,V3,No Dwell Time,NONE,KB11,B9-104,112.159,2026-09-15T08:55:33.2771770Z,,1.0,destination_reached,108,84,1,0,1,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,6,3,2,1,0,0,0,4,6,66.67,1,6,6,6,False,1,1,0,0,1,1.674,1.674,0.0,1.674,1.674,1.674,success,14.014,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.9117,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,108,5.0501,5.062,0.1988,4.493,5.533,0.4279,0.176,19.0348,61.561,21,0.9,0.9,0.877,35.19,35.19,35.19,1.0,1.0,1.0,4,100.0,66.7,,
20260915_084744_254_V1_GPS_TO_VPS_NORMAL_DEV_7E4F,VALID_WITH_WARNINGS,[LARGE_TIME_GAP] 1 gap(s) in events elapsed_s exceed 60.0s (app pause/resume or logging interruption).,V1,Fixed Geometric,NONE,KB11,B9-104,166.217,2026-09-15T08:47:44.2547400Z,,1.0,destination_reached,164,171,0,0,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.687,1.687,0.0,1.687,1.687,1.687,success,25.025,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,3.6613,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,164,5.023,5.03,0.2125,4.548,5.617,0.4945,0.176,17.4733,66.817,26,0.9,0.9,0.8866,35.37,35.37,35.37,1.0,1.0,1.0,2,100.0,50.0,,
20260915_090910_119_BT_GPS_TO_VPS_NORMAL_DEV_8D8B,VALID,,BT,Quality + Dwell Baseline,NONE,KB11,B9-104,83.249,2026-09-15T09:09:10.1199040Z,,1.0,destination_reached,80,434,1,1,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.746,1.746,0.0,1.746,1.746,1.746,success,6.006,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,2.0255,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,80,5.0248,5.0125,0.2002,4.478,5.454,0.4786,0.176,19.0953,56.99,9,0.9,0.9,0.8869,35.0,35.0,35.0,1.0,1.0,1.0,0,100.0,0.0,,
20260915_085823_623_V4_GPS_TO_VPS_NORMAL_DEV_FB68,VALID,,V4,No Map-ID Check,NONE,KB11,B9-104,223.447,2026-09-15T08:58:23.6236640Z,,1.0,destination_reached,222,418,1,1,0,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,0.0,,1,1,0,0,0,0,0,0,1,0.0,0,0,1,1,False,1,0,1,0,0,,,,,,,timeout_fallback,17.017,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,222,4.9222,4.9265,0.1938,4.452,5.482,0.7089,0.889,4.9178,36.001,1,0.9,0.9,,50.0,50.0,0.0,1.0,1.0,0.0,0,0.0,0.0,,
20260912_034750_793_BT_GPS_TO_VPS_NORMAL_DEV_EB50,VALID,,BT,Quality + Dwell Baseline,GPS_TO_VPS,KB18,B9-104,23.132,2026-09-12T03:47:50.7937240Z,,1.0,destination_reached,23,16,1,1,0,0,0,1.0,3.104,,1.0,False,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.704,1.704,0.0,1.704,1.704,1.704,success,,0.958,0.8305,1.5,0.0,2.3109,15.63,reconstructed from campus_x/campus_y at +/-2.0s window,2.3109,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,23,4.9982,4.978,0.1886,4.593,5.383,0.7946,0.936,2.926,8.5,0,,,0.8941,78.26,78.26,78.26,1.0,1.0,1.0,2,100.0,50.0,3.097,6.201
20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,VALID,,V3,No Dwell Time,GPS_TO_VPS,KB18,B9-104,153.295,2026-09-12T03:22:59.6258610Z,,1.0,destination_reached,150,1150,1,0,1,1,0,1.0,2.32,,1.0,False,6,3,2,1,0,0,0,4,6,66.67,1,6,6,6,False,1,1,0,0,1,1.744,1.744,0.0,1.744,1.744,1.744,success,1.033,1.0,0.8685,18.55,0.0,1.8602,16.562,reconstructed from campus_x/campus_y at +/-2.0s window,1.8602,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,150,5.0067,5.032,0.1753,4.535,5.388,0.7426,0.943,3.0747,14.257,15,0.9,0.9,0.8824,34.67,34.67,34.67,1.0,1.0,1.0,4,100.0,66.7,99.49,101.81
20260912_031840_651_V2_GPS_TO_VPS_NORMAL_DEV_1844,VALID,,V2,Reliable Handover,GPS_TO_VPS,KB18,B9-104,102.731,2026-09-12T03:18:40.6515340Z,,1.0,destination_reached,101,402,1,1,1,1,0,0.0,,,0.0,False,1,1,0,0,0,0,0,0,1,0.0,0,0,1,1,False,1,0,1,0,0,,,,,,,timeout_fallback,24.374,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,101,4.8752,4.856,0.1878,4.464,5.325,0.4916,0.15,8.3599,35.24,36,0.9,0.9,,48.51,48.51,48.51,1.0,1.0,0.0,0,0.0,0.0,51.249,62.449
20260912_030230_879_V1_GPS_TO_VPS_NORMAL_DEV_DCB4,VALID,,V1,Fixed Geometric,GPS_TO_VPS,KB18,B9-104,256.457,2026-09-12T03:02:30.8799500Z,,1.0,destination_reached,248,5469,0,0,0,0,0,0.0,,,0.0,False,1,1,0,0,0,0,0,0,1,0.0,0,0,1,1,False,1,0,1,0,0,,,,,,,timeout_fallback,3.067,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,248,5.0702,5.082,0.1845,4.551,5.541,0.6842,0.937,14.2072,81.914,27,0.9,0.9,,49.6,49.6,49.6,1.0,1.0,0.0,0,0.0,0.0,128.129,139.329
20260912_034402_407_V5_GPS_TO_VPS_NORMAL_DEV_EC78,VALID,,V5,Full HARMONY,GPS_TO_VPS,KB18,B9-104,65.472,2026-09-12T03:44:02.4070600Z,,1.0,destination_reached,65,18,1,1,1,1,1,1.0,3.512,,1.0,False,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.73,1.73,0.0,1.73,1.73,1.73,success,,0.993,0.9209,31.865,0.0,1.3211,11.212,reconstructed from campus_x/campus_y at +/-2.0s window,1.3211,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,65,5.0078,5.016,0.1776,4.543,5.373,0.8832,0.962,1.7269,8.032,0,,,0.8912,32.31,32.31,32.31,1.0,1.0,1.0,0,100.0,0.0,42.318,45.83
20260912_034104_595_V4_GPS_TO_VPS_NORMAL_DEV_294C,VALID,,V4,No Map-ID Check,GPS_TO_VPS,KB18,B9-104,12.299,2026-09-12T03:41:04.5958670Z,,1.0,destination_reached,12,22,1,1,0,1,0,1.0,3.441,,1.0,False,6,3,2,1,0,0,0,4,6,66.67,1,6,6,6,False,1,1,0,0,1,1.704,1.704,0.0,1.704,1.704,1.704,success,,0.875,0.8948,3.4,0.0,1.6111,15.555,reconstructed from campus_x/campus_y at +/-2.0s window,1.6111,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,12,4.6927,4.6775,0.2203,4.2,5.019,0.6303,0.8515,4.0413,8.332,0,,,0.8703,25.0,25.0,25.0,1.0,1.0,1.0,4,100.0,66.7,6.991,10.432
20260912_034626_883_BQ_GPS_TO_VPS_NORMAL_DEV_F465,VALID,,BQ,Quality-Threshold Baseline,GPS_TO_VPS,KB18,B9-104,42.276,2026-09-12T03:46:26.8832920Z,,1.0,destination_reached,42,13,1,0,0,0,0,0.0,,,0.0,False,1,1,0,0,0,0,0,0,1,0.0,0,0,1,1,False,1,0,1,0,0,,,,,,,timeout_fallback,,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,42,4.9823,4.9965,0.185,4.534,5.321,0.9142,0.949,1.8759,5.9,0,,,,54.76,54.76,54.76,1.0,1.0,0.0,0,0.0,0.0,17.797,28.997
